task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213409303569223	color background outside canvas a cool dark gray to distinguish it from canvas area	New	High	Enhancement		Unassigned			2026-02-23 18:42:10	
b6da8053-7978-4d95-8d6c-fb8c1757fb94	create a task list using noformat task tsv to track animations and level of finalization and to assist with ai generated animations	New							2026-04-25 21:15:51	
8df3b3dd-e499-43c1-8b32-0ddcf373db03	need to be able to export final frame of a project animation as an SVG	New							2026-05-04 09:52:44	
1213409298716103	Group overide for style is not working in export	Backlog	High	Bug		Unassigned			2026-02-23 16:23:32	
5b22cd91-evenodd-knockouts	SVG fill-rule="evenodd" knockouts wrong on complex compound paths	Backlog	Medium	Bug	Animation Variables			Pixi v8's SVGParser uses an area-sorted heuristic for evenodd compound paths (largest subpath = main shape, all others = cuts) at App/node_modules/pixi.js/lib/scene/graphics/shared/svg/SVGParser.mjs lines 88-99. For complex artwork (e.g. books.svg in our gene_key_icons set) the heuristic guesses wrong about which subpaths are holes, leaving inner regions filled that should be cut out. Browser rasterization respects evenodd correctly, which is why thumbnails look right but the canvas render does not.\n\nOptions: (a) per-asset opt-in fallback to raster mode for known-bad SVGs, (b) flatten compound paths to multiple separate paths with explicit fills before passing to Pixi, (c) ship a patched copy of Pixi's SVGParser. None are great. Punt until we have more affected assets to gauge severity.	2026-04-27 21:00:00	
local-1777824000000-1012	Legacy shape-type code removal audit	Backlog	Medium	Technical Debt	General	Unassigned	Asset rebuild Stage G — Cleanup, retire legacy types + custom	Run the audit SQL added in 4215559 against Supabase to confirm zero rows in projects.layers still reference astrology / amino / iching_lines. Once clean, Stage G can delete the legacy code paths.	2026-04-25 21:30:00	
local-1777824000000-1013	v1 filter for schema_version (in v1 repo)	Do Next	High	Technical Debt	General	Unassigned		Once v2 starts writing rows with schema_version = 2, v1's project list should filter to schema_version = 1 OR schema_version IS NULL in useStore.ts → fetchProjects. Otherwise v1 will try to render v2 data and crash. This fix lives in the v1 repo (geometry-app-keyframes), not here.\n\nUPDATE 2026-08-04: v2's saveProject now stamps schema_version = 2 on every save (music-track/formatVersion work), so this is actionable NOW — v1 will start seeing v2 rows as users re-save.	2026-04-25 21:30:00	
1213070073876294	Add timeline zoom controls	Backlog	Medium	UX/UI	Timeline	Unassigned		Feature Request: I need a way to zoom in and out of the timeline layer, excess length should scroll to the right.\n\nProposed Implementation: Put the control as a slider with magnifying glass plus/minus on each side in the bottom bar that contains the timeline length.\n\nExpected Behavior: Users should be able to zoom into timeline for detailed editing, with horizontal scrolling for navigation when zoomed in.	2026-02-01 15:46:22	
3f8d4e0a-color-migrate	Migrate v2 layers to unified color model	Backlog	Low	Technical Debt	Animation Variables			Now that the Inspector has a unified Color selector (one value driving strokeColor + fillColor + gradientEnabled), older layers in the DB still have arbitrary strokeColor/fillColor/gradient combos. Walk every project's layers on load (or in a one-shot migration) and collapse: pick strokeColor as the single color, sync fillColor to it, keep gradientEnabled + gradientStops as-is. Defer until the new Inspector ships and is confirmed working.	2026-04-27 19:35:00	
1213783121489132	video exporter doesn't cancel and percetnage timer is incorrect	Backlog	Low	Bug	Exporters	Alexa			2026-03-24 22:31:27	
